date,Ozone
3/15/2013,0.1525
3/8/2013,0.1037
3/1/2013,0.122
2/22/2013,0.1098
2/15/2013,0.1037
2/8/2013,0.1342
2/1/2013,0.0915
1/25/2013,0.1098
1/18/2013,0.1403
1/11/2013,0.1037
1/4/2013,0.1281
12/28/2012,0.1525
12/21/2012,0.1403
12/14/2012,0.1037
12/7/2012,0.1098
11/30/2012,0.1342
11/23/2012,0.1281
11/16/2012,0.1281
11/9/2012,0.1342
11/2/2012,0.1403
10/26/2012,0.122
10/19/2012,0.122
10/12/2012,0.0915
10/5/2012,0.1098
9/28/2012,0.1403
9/21/2012,0.1281
9/14/2012,0.1281
9/7/2012,0.1281
8/31/2012,0.1403
8/24/2012,0.1342
8/17/2012,0.1159
8/10/2012,0.1403
8/3/2012,0.1342
7/27/2012,0.1464
7/20/2012,0.1281
7/13/2012,0.1037
7/6/2012,0.1159
6/29/2012,0.1037
6/22/2012,0.12
6/15/2012,0.1342
6/8/2012,0.0915
6/1/2012,0.1281
5/25/2012,0.1037
5/18/2012,0.1037
5/11/2012,0.1525
5/4/2012,0.1342
4/27/2012,0.0976
4/20/2012,0.1281
4/13/2012,0.1159
4/6/2012,0.1159
3/30/2012,0.1159
3/23/2012,0.1159
3/16/2012,0.1037
3/9/2012,0.1098
3/2/2012,0.1098
2/24/2012,0.1098
2/17/2012,0.122
2/10/2012,0.1525
2/3/2012,0.1464
1/27/2012,0.0976
1/20/2012,0.1098
1/13/2012,0.1342
1/6/2012,0.1098
12/30/2011,0.0854
12/23/2011,0.1586
12/16/2011,0.1159
12/9/2011,0.1464
12/2/2011,0.1281
11/25/2011,0.1098
11/18/2011,0.1098
11/11/2011,0.1647
11/4/2011,0.1037
10/28/2011,0.1098
10/21/2011,0.1281
10/14/2011,0.1403
10/7/2011,0.1403
9/30/2011,0.1098
9/23/2011,0.1037
9/16/2011,0.1159
9/9/2011,0.1098
9/2/2011,0.1342
8/26/2011,0.1281
8/19/2011,0.0976
8/12/2011,0.0976
8/5/2011,0.0854
7/29/2011,0.0976
7/22/2011,0.1464
7/15/2011,0.1464
7/8/2011,0.1159
7/1/2011,0.1281
6/24/2011,0.1464
6/17/2011,0.1464
6/10/2011,0.1342
6/3/2011,0
5/27/2011,0.1342
5/20/2011,0.1586
5/13/2011,0.1647
5/6/2011,0.1037
4/29/2011,0.1342
4/22/2011,0.1098
4/15/2011,0.1647
4/8/2011,0.1159
4/1/2011,0.1037
3/25/2011,0.1159
3/18/2011,0.1342
3/11/2011,0.1281
3/4/2011,0.122
2/25/2011,0.122
2/18/2011,0.1342
2/11/2011,0.1342
2/4/2011,0.1403
1/28/2011,0.1281
1/21/2011,0.1586
1/14/2011,0.122
1/7/2011,0.1037
12/31/2010,0.1098
12/24/2010,0.1037
12/17/2010,0.1464
12/10/2010,0.122
12/3/2010,0.1098
11/26/2010,0.1464
11/19/2010,0.1037
11/12/2010,0.1159
11/5/2010,0.0976
10/29/2010,0.0915
10/22/2010,0.1281
10/15/2010,0.1159
10/8/2010,0.0915
10/1/2010,0.1281
9/24/2010,0.1159
9/17/2010,0.122
9/10/2010,0.0976
9/3/2010,0.1159
8/27/2010,0.1281
8/20/2010,0.0915
8/13/2010,0.122
8/6/2010,0.1464
7/30/2010,0.1342
7/23/2010,0.1159
7/16/2010,0.0732
7/9/2010,0.1281
7/2/2010,0.1281
6/25/2010,0.1647
6/18/2010,0.1159
6/11/2010,0.0976
6/4/2010,0.1403
5/28/2010,0.1037
5/21/2010,0.1098
5/14/2010,0.13
5/7/2010,0.1098
4/30/2010,0.0915
4/23/2010,0.1769
4/16/2010,0.1037
4/9/2010,0.1098
4/2/2010,0.1159
3/26/2010,0.1037
3/19/2010,0.1037
3/12/2010,0.1281
3/5/2010,0.0854
2/26/2010,0.0976
2/19/2010,0.122
2/12/2010,0.1037
2/5/2010,0.1525
1/29/2010,0.1342
1/22/2010,0.1159
1/15/2010,0.1342
1/8/2010,0.1037
1/1/2010,0.1159
12/25/2009,0.1159
12/18/2009,0.1159
12/11/2009,0.1281
12/4/2009,0.122
11/27/2009,0.0854
11/20/2009,0.122
11/13/2009,0.1464
11/6/2009,0.1098
10/30/2009,0.1281
10/23/2009,0.122
10/16/2009,0.1403
10/9/2009,0.1647
10/2/2009,0.1403
9/25/2009,0.1342
9/18/2009,0.1342
9/11/2009,0.1464
9/4/2009,0.1037
8/28/2009,0.1464
8/21/2009,0.1525
8/14/2009,0.1159
8/7/2009,0.0976
7/31/2009,0.1098
7/24/2009,0.122
7/17/2009,0.1342
7/10/2009,0.0915
7/3/2009,0.1098
6/26/2009,0.1525
6/19/2009,0.1342
6/12/2009,0.1342
6/5/2009,0.1098
5/29/2009,0.1281
5/22/2009,0.1281
5/15/2009,0.1464
5/8/2009,0.0976
5/1/2009,0.0976
4/24/2009,0
4/17/2009,0.1342
4/10/2009,0.0854
4/3/2009,0.1098
3/27/2009,0.1281
3/20/2009,0.122
3/13/2009,0.1586
3/6/2009,0.1464
2/27/2009,0.1342
